Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Aruba	ABW	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																							4.763160229	4.395540237	4.714680195	4.739490032	4.924270153		4.408899784	4.680759907		4.799180031	4.915589809	5.924670219	6.712490082	6.036870003				5.354065691		
Afghanistan	AFG	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												1.160359979	1.11717999	1.427880049		1.30332005				1.73980999	1.840929985	1.909170032	1.729979992																												4.511159897	4.087910175	3.125619888	4.544360161	4.804349899	4.214680004		
Angola	AGO	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																										4.622000217	6.054500103	6.117499828											2.59149003		2.607530117					2.120110035	2.281460047				3.438970089					2.61351339		
Albania	ALB	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																			3.265189886	3.764709949	3.274280071	3.475320101	3.326420069	3.379719973	3.286920071	3.340600014	3.056629896	3.06427002	3.170079947	3.23871994	3.157190084	3.268680096						3.538000107		3.274534035		
Andorra	AND	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																						3.713279963					1.696840048		1.532539964	1.600250006	2.193989992	2.07404995	2.934570074	3.163870096	3.065799952	3.158890009		2.462579966	3.064419985	2.525095999		
Arab World	ARB	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																													4.6707201		3.859339952		4.282284975							4.270781676		
United Arab Emirates	ARE	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																						1.109439969																		#DIV/0!		
Argentina	ARG	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											1.458089948		1.936200023	1.780519962	1.923519969	1.843600035	1.165639997	1.71984005	1.935549974	2.400279999	2.607150078		1.597869992	1.617499948	2.56972003	1.361860037	1.26154995	1.282299995		1.046120048	1.067379951						3.731980085		4.039869785	4.521679878	4.580309868	4.833740234	4.017340183	3.535049915	3.156539917	3.474050045	3.654989958	3.896339893	4.33781004	4.889979839	4.606369972	4.986310005	5.099040031	5.344099998		4.34455297		
Armenia	ARM	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																					1.848430037			2.235179901	2.772720098	2.469439983	2.135040045	2.145050049	2.486730099	2.712029934	2.715770006	3.018939972	3.172729969	3.840790033	3.249000072	3.143840075	3.071239948	2.650180101	2.240499973	2.936522744		
American Samoa	ASM	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																								#DIV/0!		
Antigua and Barbuda	ATG	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																								3.237070084			3.445389986							2.554470062						2.554470062		
Australia	AUS	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																			6.013599873	5.901939869	5.658470154		5.482379913	5.374400139		5.40571022	5.281189919	5.070049763	4.916930199	4.746560097	4.673110008	4.792200089	4.68764019	5.509150028	5.246590137	5.119830132	5.229489803				4.894659996					4.912660122	4.744939804	4.661159992	4.635290146	5.09262991	5.568940163	5.099070072	4.896460056	5.270659924		4.986867799		
Austria	AUT	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											4.157179832	4.292699814	4.46089983	4.526370049	4.667190075	5.140339851	5.250309944	4.965970039	5.172249794	5.050330162	5.021070004	5.380770206	5.375939846	5.316589832	5.307260036	5.309999943	5.513239861	5.389090061	5.203269958	5.030290127	4.969230175	5.115540028	5.309770107	5.264679909		5.441460133	5.271679878		6.119900227	6.125339985	5.599569798	5.586349964	5.532680035	5.381869793	5.320940018	5.271490097	5.252930164	5.17663002	5.296989918	5.767409801	5.725019932	5.619430065	5.453350067	5.56483984		5.444902992		
