Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Aruba	ABW	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							22.08238983	19.27891922	21.82275963	21.3203907	19.75715065		14.89785957	18.88828087		20.78879929	19.03619957	21.56179047	22.17513084	21.77598				19.87486294		
Afghanistan	AFG	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																																			22.24014091	19.10585022	12.82316971	18.46120071	18.39786911	18.20564613		
Angola	AGO	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							6.114679813		5.255080223					7.992350101	7.454810143				8.684760094					8.043973446		
Albania	ALB	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																						11.15338993	9.624070168	9.682459831	10.13702965	10.58193016	9.886919975	10.57359982	10.70316029	11.35797024	10.93295002	11.17718983						12.12390995		11.25903606		
Andorra	AND	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																																								#DIV/0!		
Arab World	ARB	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																													13.79283047		11.22463036		13.18469							12.73405027		
United Arab Emirates	ARE	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																						5.023729801																		#DIV/0!		
Argentina	ARG	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							15.62226963	15.88008976	16.22695923	16.3576107	16.44329071	14.36279011	15.16020012	15.80628014	16.35148048	15.82748985	16.62552071	16.61490059	15.57046032	15.72955036	15.06352997	15.09043026		15.78398428		
Armenia	ARM	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																														13.64809036	13.57851982	13.46558952	14.26844978	13.45121956	12.40050983	12.59333992	13.70186996	11.13677025	9.367139816	12.76114988		
American Samoa	ASM	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																																								#DIV/0!		
Antigua and Barbuda	ATG	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																								12.52143002			8.855970383							6.916619778						6.916619778		
Australia	AUS	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																				14.11190987					13.59022999					13.58512974	13.17819977	13.03026962	12.59972	13.41501999	14.32759953	13.50201988	13.18428993	14.04178047		13.42933655		
Austria	AUT	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							11.79854012	11.8425703	11.1245203	10.95040035	10.91397953	10.55023003	9.957719803	10.34062004	10.46352959	10.54306984	10.64181042	10.66201019	10.85873032	11.0603199	10.70825005	10.95240974		10.61884699		
