Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Aruba	ABW	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								18.56193924	19.20524979	20.2401104	19.39233017		17.74369049	17.61315918										17.67842484		
Afghanistan	AFG	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Angola	AGO	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Albania	ALB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																						5.869239807		5.869239807		
Andorra	AND	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																											6.219600201		6.930640221	7.171380043	10.23029995	11.36120987		18.0524292	13.34844017	13.35612011		15.54199982	11.66201019	11.9616144		
Arab World	ARB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
United Arab Emirates	ARE	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							7.918479919													17.15379906	17.76390076			17.45884991		
Argentina	ARG	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							15.18887043	16.68324089	15.82505989	16.98851967	15.29543018	12.93167973	11.78876019	14.59502029	14.94097996	15.68375015	17.32092094	19.81090927	17.87042999	19.64361	19.97046089	21.42592049		17.30507622		
Armenia	ARM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																					16.68235016	15.35562038	15.00012016	15.67936357		
American Samoa	ASM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Antigua and Barbuda	ATG	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																		12.46716976		9.792050362				11.12961006		
Australia	AUS	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																									13.97078037					15.9350996	17.78907967	17.26538086	17.11651993	18.50469971	19.77622032	17.9021492	16.50674057	16.90513992		17.52233664		
Austria	AUT	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							29.00530052	29.35495949	27.21273994	27.11129951	27.05475044	27.98246002	26.6856308	25.50172997	25.83912086	25.55410004	26.46442986	29.47378922	28.55934906	29.56501961	26.96511078	27.52095985		27.212924		
Azerbaijan	AZE	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Burundi	BDI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																										56.74748993	56.18119049		55.50550842	55.75608826				49.74905014	53.14894104	42.15626144	33.97024155	30.96095085		45.89243453		
Belgium	BEL	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																										23.15376091	23.77057076	22.02323914	32.30593872	31.98563004	31.87614059	32.3187294	35.66027069	37.02025986	36.90832901	37.57521057	38.62728119			34.91975445		
Benin	BEN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																									22.50028992	22.67580986	18.53429031	20.52549934	23.12101936	22.39628983								14.31311035	13.59165001	18.35551739		
Burkina Faso	BFA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																														20.7933197	22.18980026	29.19776917			20.60366058	22.78503036	18.2018795	15.39196014	15.88868046	20.63151252		
