Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
Aruba	ABW	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									97.29125214										96.82263947					97.52420044	97.17341995	
Afghanistan	AFG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				18.15768051																																31.74111748				38.16804123	34.95457935	
Angola	AGO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										67.4054184													70.99108887	71.16416168	71.07762527	
Albania	ALB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										98.71298218							95.93863678			96.84529877	97.24697113			97.55390167	97.21539052	
Andorra	AND	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Arab World	ARB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															54.59347153										66.00606537										77.36458588						77.36458588	
United Arab Emirates	ARE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																53.51488113										71.23529816																				90.03385162										92.98636627	92.98636627	
Argentina	ARG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					93.91285706											96.12819672										97.1933136													98.03401947	98.08997345	98.06199646	
Armenia	ARM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														98.75196075												99.40016174										99.74440765				99.76841736	99.75641251	
American Samoa	ASM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					97.34416199																																				#DIV/0!	
Antigua and Barbuda	ATG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										98.94999695													98.94999695		98.94999695	
Australia	AUS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Austria	AUT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Azerbaijan	AZE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																								98.79180145								99.60191345		99.75984192	99.77114105	99.77863312	99.77577209	99.78936005	99.78898621	99.8052597	99.7848587	
Burundi	BDI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				22.50855064											37.38471985										59.30361938								86.94786835							85.49609375	85.49609375	
Belgium	BEL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Benin	BEN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				16.48278999													27.2452507										34.65784836				28.70211029									38.44713974	38.44713974	
Burkina Faso	BFA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																8.685150146																13.56923008					12.84817028							21.82291985		23.55372047	22.47257996	28.7292099							34.59941101	37.74670029	36.17305565	
Bangladesh	BGD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						29.22723007										35.31930161										47.48550034													60.5752182	61.49383163	61.03452492	
